"","Year","District","Electorate","ColNames","Votes","Percentage"
"172",2005,"Colombo","Avissawella","Wije Dias",36,0.05
"173",2005,"Colombo","Avissawella","Anura De Silva",66,0.08
"174",2005,"Colombo","Avissawella","Aruna de Soyza",51,0.06
"175",2005,"Colombo","Avissawella","Mahinda Rajapaksha",41936,53.02
"176",2005,"Colombo","Avissawella","Ranil Wickramasinghe",36227,45.8
"177",2005,"Colombo","Avissawella","Achala Ashoka Suraweera",209,0.26
"178",2005,"Colombo","Avissawella","Victor Hettigoda",114,0.14
"179",2005,"Colombo","Avissawella","Hewaheenipallage Shantha Dharmadwaja",10,0.01
"180",2005,"Colombo","Avissawella","Total No of Valid Votes",79098,98.92
"181",2005,"Colombo","Avissawella","No of Rejected Votes",865,1.08
"182",2005,"Colombo","Avissawella","Total No of Votes Polled",79963,79.12
"183",2005,"Colombo","Homagama","Wimal Geeganage",64,0.06
"184",2005,"Colombo","Homagama","Chamil Jayaneththi",68,0.06
"185",2005,"Colombo","Homagama","Ajith Kumara Jayaweera Arachchige",44,0.04
"186",2005,"Colombo","Homagama","Siritunga Jayasuriya",242,0.22
"187",2005,"Colombo","Homagama","P. Nelson Perera",19,0.02
"188",2005,"Colombo","Homagama","Wije Dias",25,0.02
"189",2005,"Colombo","Homagama","Anura De Silva",55,0.05
"190",2005,"Colombo","Homagama","Aruna de Soyza",62,0.06
"191",2005,"Colombo","Homagama","Mahinda Rajapaksha",64433,59.18
"192",2005,"Colombo","Homagama","Ranil Wickramasinghe",43477,39.93
"193",2005,"Colombo","Homagama","Achala Ashoka Suraweera",206,0.19
"194",2005,"Colombo","Homagama","Victor Hettigoda",184,0.17
"195",2005,"Colombo","Homagama","Hewaheenipallage Shantha Dharmadwaja",3,0
"196",2005,"Colombo","Homagama","Total No of Valid Votes",108882,99.06
"197",2005,"Colombo","Homagama","No of Rejected Votes",1035,0.94
"198",2005,"Colombo","Homagama","Total No of Votes Polled",109917,77.42
"199",2005,"Colombo","Ratmalana","No of Registered Electors",66432,NA
"200",2005,"Colombo","Kolonnawa","No of Registered Electors",107725,NA
"201",2005,"Colombo","Kotte","No of Registered Electors",73274,NA
"202",2005,"Colombo","Kaduwela","No of Registered Electors",148435,NA
